epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2467.41,1.21659,1.03346,1.42336,0.81121,0.68311,0.7461,0.45169,1.36682,0.93084,1.39221,0.0091882,0.0091882,0.0091882
43,2523.04,1.21411,1.03668,1.42561,0.82593,0.69298,0.75561,0.46764,1.36882,0.90449,1.37762,0.0091684,0.0091684,0.0091684
44,2581.41,1.20199,1.01078,1.41376,0.80734,0.69921,0.75379,0.46041,1.38184,0.90772,1.3868,0.0091486,0.0091486,0.0091486
45,2638.84,1.2108,1.01671,1.41591,0.78783,0.68119,0.74263,0.4543,1.34339,0.92717,1.366,0.0091288,0.0091288,0.0091288
46,2696.71,1.20063,1.00654,1.40871,0.75386,0.7179,0.75243,0.45769,1.36836,0.8875,1.36865,0.009109,0.009109,0.009109
47,2754.14,1.19475,0.99558,1.40498,0.77495,0.71397,0.75393,0.46795,1.34224,0.89718,1.35604,0.0090892,0.0090892,0.0090892
48,2811.48,1.18901,0.99629,1.40339,0.7511,0.71193,0.74027,0.45624,1.35741,0.90891,1.36588,0.0090694,0.0090694,0.0090694
49,2869.32,1.18368,0.99924,1.4078,0.78803,0.69591,0.74963,0.47028,1.36729,0.89595,1.3757,0.0090496,0.0090496,0.0090496
50,2927.2,1.18388,0.972,1.39227,0.81104,0.71232,0.76126,0.47133,1.36429,0.90314,1.36294,0.0090298,0.0090298,0.0090298
51,2985.07,1.19178,0.98781,1.40321,0.8066,0.69495,0.75566,0.46839,1.34578,0.88826,1.3755,0.00901,0.00901,0.00901
52,3043.02,1.16843,0.96778,1.38862,0.78182,0.72111,0.76382,0.47373,1.34595,0.87932,1.35263,0.0089902,0.0089902,0.0089902
53,3100.47,1.17138,0.96202,1.391,0.77194,0.72394,0.74535,0.45303,1.36233,0.88559,1.37378,0.0089704,0.0089704,0.0089704
54,3159.04,1.16015,0.95619,1.38176,0.78106,0.69955,0.75447,0.46138,1.34424,0.87468,1.35576,0.0089506,0.0089506,0.0089506
55,3218.08,1.16152,0.95071,1.37757,0.78198,0.71595,0.75523,0.46109,1.353,0.87975,1.35431,0.0089308,0.0089308,0.0089308
56,3276.19,1.1475,0.93874,1.37199,0.7827,0.67216,0.73658,0.45525,1.33202,0.89542,1.34856,0.008911,0.008911,0.008911
57,3334.32,1.14802,0.93443,1.37408,0.75919,0.71584,0.74971,0.46367,1.34822,0.87551,1.34977,0.0088912,0.0088912,0.0088912
58,3392.98,1.15482,0.94571,1.37883,0.78822,0.72671,0.75841,0.46563,1.34647,0.8788,1.36405,0.0088714,0.0088714,0.0088714
59,3450.51,1.14372,0.92453,1.36778,0.81398,0.69415,0.75678,0.4683,1.35243,0.87507,1.35726,0.0088516,0.0088516,0.0088516
60,3506.02,1.13948,0.92091,1.35954,0.80294,0.72038,0.76936,0.48446,1.32276,0.83053,1.33403,0.0088318,0.0088318,0.0088318
61,3563.09,1.13333,0.91204,1.35611,0.80755,0.70964,0.76512,0.48193,1.33845,0.84626,1.33624,0.008812,0.008812,0.008812
62,3621.02,1.13304,0.91196,1.35028,0.77821,0.67866,0.74382,0.46618,1.34974,0.88206,1.34901,0.0087922,0.0087922,0.0087922
63,3679.6,1.13598,0.90439,1.35926,0.80729,0.69012,0.74917,0.46772,1.33914,0.85706,1.35635,0.0087724,0.0087724,0.0087724
64,3738.81,1.1401,0.9074,1.35615,0.80355,0.68375,0.75,0.46738,1.31865,0.86677,1.34435,0.0087526,0.0087526,0.0087526
65,3796.65,1.13125,0.90527,1.3534,0.79861,0.70702,0.76547,0.47809,1.3425,0.85372,1.34816,0.0087328,0.0087328,0.0087328
66,3855.27,1.11591,0.89265,1.34348,0.7609,0.71742,0.74604,0.45974,1.31726,0.86776,1.33518,0.008713,0.008713,0.008713
67,3911.59,1.11289,0.88637,1.34076,0.81218,0.68193,0.75637,0.46981,1.32171,0.83946,1.32872,0.0086932,0.0086932,0.0086932
68,3970.03,1.12628,0.88901,1.34611,0.77879,0.71502,0.75785,0.47929,1.33835,0.8374,1.34469,0.0086734,0.0086734,0.0086734
