epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.9147,1.79961,2.80684,1.95255,0.48951,0.4452,0.43147,0.2008,1.75463,1.73815,1.6857,0.00328704,0.00328704,0.00328704
2,140.724,1.51414,1.78708,1.682,0.66686,0.5489,0.60538,0.32041,1.64653,1.40306,1.58992,0.00660726,0.00660726,0.00660726
3,196.501,1.5256,1.69634,1.68873,0.55908,0.4303,0.46383,0.23401,1.82281,2.72821,1.80354,0.00991429,0.00991429,0.00991429
4,250.475,1.57087,1.7371,1.72132,0.44427,0.46483,0.37626,0.16933,1.76579,2.09431,1.77013,0.0099406,0.0099406,0.0099406
5,304.781,1.53549,1.69303,1.702,0.62265,0.49505,0.52883,0.25093,1.76675,1.54101,1.73399,0.0099208,0.0099208,0.0099208
6,358.473,1.50474,1.61891,1.66487,0.59773,0.52358,0.54338,0.27102,1.72436,1.47283,1.68265,0.009901,0.009901,0.009901
7,410.23,1.49236,1.55252,1.65382,0.72664,0.56092,0.61932,0.31901,1.76295,1.43465,1.75502,0.0098812,0.0098812,0.0098812
8,462.869,1.46786,1.52926,1.64952,0.73591,0.60105,0.65528,0.35025,1.60832,1.24475,1.59466,0.0098614,0.0098614,0.0098614
9,515.118,1.44287,1.4737,1.61505,0.68428,0.61415,0.64759,0.34858,1.64479,1.24171,1.59774,0.0098416,0.0098416,0.0098416
10,569.478,1.43113,1.45189,1.60516,0.60782,0.55623,0.57674,0.31428,1.61325,1.29493,1.59085,0.0098218,0.0098218,0.0098218
11,624.471,1.4074,1.4219,1.59547,0.68758,0.57974,0.65492,0.36183,1.56429,1.18957,1.54009,0.009802,0.009802,0.009802
12,677.709,1.39644,1.38739,1.58181,0.72777,0.63043,0.69569,0.40086,1.49631,1.12348,1.49738,0.0097822,0.0097822,0.0097822
13,730.202,1.39747,1.36202,1.57648,0.74215,0.65027,0.70166,0.39938,1.50365,1.06965,1.50144,0.0097624,0.0097624,0.0097624
14,785.339,1.37794,1.33993,1.5597,0.64817,0.61809,0.64197,0.36495,1.53897,1.1985,1.52994,0.0097426,0.0097426,0.0097426
15,840.037,1.35724,1.32976,1.55513,0.81541,0.63755,0.71269,0.40882,1.47933,1.09078,1.47868,0.0097228,0.0097228,0.0097228
16,895.147,1.3543,1.29778,1.54858,0.74707,0.64804,0.70331,0.39839,1.51431,1.05767,1.47955,0.009703,0.009703,0.009703
17,949.891,1.35243,1.29049,1.53915,0.73886,0.61485,0.67218,0.38155,1.48949,1.13106,1.4439,0.0096832,0.0096832,0.0096832
18,1003.9,1.34056,1.2729,1.53045,0.72831,0.63257,0.67958,0.36673,1.59212,1.13869,1.55726,0.0096634,0.0096634,0.0096634
19,1058.65,1.32445,1.25201,1.51536,0.75391,0.63107,0.71282,0.41551,1.46824,1.05823,1.4507,0.0096436,0.0096436,0.0096436
20,1114.38,1.32833,1.23681,1.51929,0.77144,0.67573,0.73391,0.42653,1.45922,1.02256,1.44593,0.0096238,0.0096238,0.0096238
21,1168.81,1.31361,1.22438,1.51565,0.76691,0.67177,0.7325,0.43388,1.45586,1.03713,1.44916,0.009604,0.009604,0.009604
22,1223.85,1.30737,1.21151,1.50925,0.76206,0.64806,0.7158,0.41681,1.46493,1.02211,1.44959,0.0095842,0.0095842,0.0095842
23,1277.34,1.28479,1.18729,1.49109,0.75815,0.64939,0.71674,0.42248,1.44896,1.04775,1.44552,0.0095644,0.0095644,0.0095644
24,1331.55,1.29833,1.18385,1.49457,0.75755,0.66547,0.72341,0.42495,1.46359,1.02044,1.45706,0.0095446,0.0095446,0.0095446
25,1385.86,1.2862,1.17216,1.48815,0.77414,0.65623,0.72928,0.43592,1.41341,1.01887,1.42474,0.0095248,0.0095248,0.0095248
26,1438.07,1.28414,1.16602,1.48854,0.75045,0.66895,0.72049,0.41681,1.43624,1.03027,1.44509,0.009505,0.009505,0.009505
27,1489.1,1.27111,1.15109,1.47492,0.79917,0.63434,0.70267,0.41699,1.42057,1.05449,1.44407,0.0094852,0.0094852,0.0094852
